year,musician_x,work,category,status,cleaned_musician,musician_y,ethnicity,shared_award,Column1,id,total_percentage,status/ethnicity
2002,Nelly Furtado,,best-new-artist,nominee,Nelly Furtado,Nelly Furtado,white,,,476,0.5333333333333333,white nominee
2002,David Gray,,best-new-artist,nominee,David Gray,David Gray,white,,,477,0.5333333333333333,white nominee
2002,Linkin Park,,best-new-artist,nominee,Linkin Park,Linkin Park,white,,,478,0.5333333333333333,white nominee
2001,Shelby Lynne,,best-new-artist,winner,Shelby Lynne,Shelby Lynne,white,,,479,0.26666666666666666,white winner
2001,Brad Paisley,,best-new-artist,nominee,Brad Paisley,Brad Paisley,white,,,480,0.26666666666666666,white nominee
2001,Papa Roach,,best-new-artist,nominee,Papa Roach,Papa Roach,white,,,481,0.26666666666666666,white nominee
2001,Jill Scott,,best-new-artist,nominee,Jill Scott,Jill Scott,UR,,,482,0.26666666666666666,UR nominee
2001,Sisqo,,best-new-artist,nominee,Sisqo,Sisqo,UR,,,483,0.26666666666666666,UR nominee
2000,Christina Aguilera,,best-new-artist,winner,Christina Aguilera,Christina Aguilera,white,,,484,0.4,white winner
2000,Macy Gray,,best-new-artist,nominee,Macy Gray,Macy Gray,UR,,,485,0.4,UR nominee
2000,Kid Rock,,best-new-artist,nominee,Kid Rock,Kid Rock,white,,,486,0.4,white nominee
2000,Britney Spears,,best-new-artist,nominee,Britney Spears,Britney Spears,white,,,487,0.4,white nominee
2000,Susan Tedeschi,,best-new-artist,nominee,Susan Tedeschi,Susan Tedeschi,white,,,488,0.4,white nominee
1999,Lauryn Hill,,best-new-artist,winner,Lauryn Hill,Lauryn Hill,UR,,,489,0.2,UR winner
1999,Backstreet Boys,,best-new-artist,nominee,Backstreet Boys,Backstreet Boys,white,,,490,0.2,white nominee
1999,Andrea Bocelli,,best-new-artist,nominee,Andrea Bocelli,Andrea Bocelli,white,,,491,0.2,white nominee
1999,Dixie Chicks,,best-new-artist,nominee,Dixie Chicks,Dixie Chicks,white,,,492,0.2,white nominee
1999,Natalie Imbruglia,,best-new-artist,nominee,Natalie Imbruglia,Natalie Imbruglia,white,,,493,0.2,white nominee
1998,Paula Cole,,best-new-artist,winner,Paula Cole,Paula Cole,white,,,494,0.3333333333333333,white winner
1998,Fiona Apple,,best-new-artist,nominee,Fiona Apple,Fiona Apple,white,,,495,0.3333333333333333,white nominee
1998,Erykah Badu,,best-new-artist,nominee,Erykah Badu,Erykah Badu,UR,,,496,0.3333333333333333,UR nominee
1998,Puff Daddy,,best-new-artist,nominee,Puff Daddy,Puff Daddy,UR,,,497,0.3333333333333333,UR nominee
1998,Hanson,,best-new-artist,nominee,Hanson,Hanson,white,,,498,0.3333333333333333,white nominee
1997,LeAnn Rimes,,best-new-artist,winner,LeAnn Rimes,LeAnn Rimes,white,,,499,0.4,white winner
1997,Garbage,,best-new-artist,nominee,Garbage,Garbage,white,,,500,0.4,white nominee
1997,Jewel,,best-new-artist,nominee,Jewel,Jewel,white,,,501,0.4,white nominee
1997,No Doubt,,best-new-artist,nominee,No Doubt,No Doubt,white,,,502,0.4,white nominee
1997,The Tony Rich Project,,best-new-artist,nominee,The Tony Rich Project,The Tony Rich Project,UR,,,503,0.4,UR nominee
1996,Hootie & the Blowfish,,best-new-artist,winner,Hootie  the Blowfish,Hootie & the Blowfish,UR,shared,,504,0.5333333333333333,UR winner
1996,Brandy,,best-new-artist,nominee,Brandy,Brandy,UR,,,505,0.5333333333333333,UR nominee
1996,Alanis Morissette,,best-new-artist,nominee,Alanis Morissette,Alanis Morissette,white,,,506,0.5333333333333333,white nominee
1996,Joan Osborne,,best-new-artist,nominee,Joan Osborne,Joan Osborne,white,,,507,0.5333333333333333,white nominee
1996,Shania Twain,,best-new-artist,nominee,Shania Twain,Shania Twain,white,,,508,0.5333333333333333,white nominee
1995,Sheryl Crow,,best-new-artist,winner,Sheryl Crow,Sheryl Crow,white,,,509,0.2,white winner
1995,Ace of Base,,best-new-artist,nominee,Ace of Base,Ace of Base,white,,,510,0.2,white nominee
1995,Counting Crows,,best-new-artist,nominee,Counting Crows,Counting Crows,white,,,511,0.2,white nominee
1995,Crash Test Dummies,,best-new-artist,nominee,Crash Test Dummies,Crash Test Dummies,white,,,512,0.2,white nominee
1995,Green Day,,best-new-artist,nominee,Green Day,Green Day,white,,,513,0.2,white nominee
1994,Toni Braxton,,best-new-artist,winner,Toni Braxton,Toni Braxton,UR,,,514,0.3333333333333333,UR winner
1994,Belly,,best-new-artist,nominee,Belly,Belly,UR,,,515,0.3333333333333333,UR nominee
1994,Blind Melon,,best-new-artist,nominee,Blind Melon,Blind Melon,white,,,516,0.3333333333333333,white nominee
1994,Digable Planets,,best-new-artist,nominee,Digable Planets,Digable Planets,UR,,,517,0.3333333333333333,UR nominee
1994,SWV,,best-new-artist,nominee,SWV,SWV,UR,,,518,0.3333333333333333,UR nominee
1993,Arrested Development,,best-new-artist,winner,Arrested Development,Arrested Development,UR,,,519,0.3333333333333333,UR winner
1993,Billy Ray Cyrus,,best-new-artist,nominee,Billy Ray Cyrus,Billy Ray Cyrus,white,,,520,0.3333333333333333,white nominee
1993,Sophie B. Hawkins,,best-new-artist,nominee,Sophie B Hawkins,Sophie B. Hawkins,white,,,521,0.3333333333333333,white nominee
1993,Kris Kross,,best-new-artist,nominee,Kris Kross,Kris Kross,UR,,,522,0.3333333333333333,UR nominee
1993,Jon Secada,,best-new-artist,nominee,Jon Secada,Jon Secada,UR,,,523,0.3333333333333333,UR nominee
1992,Marc Cohn,,best-new-artist,winner,Marc Cohn,Marc Cohn,white,,,524,0.4,white winner
1992,Boyz II Men,,best-new-artist,nominee,Boyz II Men,Boyz II Men,UR,,,525,0.4,UR nominee
1992,C&C Music Factory,,best-new-artist,nominee,CC Music Factory,C&C Music Factory,UR,,,526,0.4,UR nominee
1992,Color Me Badd,,best-new-artist,nominee,Color Me Badd,Color Me Badd,UR,shared,,527,0.4,UR nominee
1992,Seal,,best-new-artist,nominee,Seal,Seal,UR,,,528,0.4,UR nominee
1991,Mariah Carey,,best-new-artist,winner,Mariah Carey,Mariah Carey,UR,,,529,0.4,UR winner
1991,Black Crowes,,best-new-artist,nominee,Black Crowes,Black Crowes,white,,,530,0.4,white nominee
1991,Kentucky Headhunters,,best-new-artist,nominee,Kentucky Headhunters,Kentucky Headhunters,white,,,531,0.4,white nominee
1991,Wilson Phillips,,best-new-artist,nominee,Wilson Phillips,Wilson Phillips,white,,,532,0.4,white nominee
1991,Lisa Stansfield,,best-new-artist,nominee,Lisa Stansfield,Lisa Stansfield,white,,,533,0.4,white nominee
1990,Milli Vanilli (award later revoked and vacated),,best-new-artist,winner,Milli Vanilli award later revoked and vacated,Milli Vanilli (award later revoked and vacated),UR,,,534,0.4,UR winner
1990,Neneh Cherry,,best-new-artist,nominee,Neneh Cherry,Neneh Cherry,UR,,,535,0.4,UR nominee
1990,Indigo Girls,,best-new-artist,nominee,Indigo Girls,Indigo Girls,white,,,536,0.4,white nominee
1990,Soul II Soul,,best-new-artist,nominee,Soul II Soul,Soul II Soul,UR,,,537,0.4,UR nominee
1990,Tone Loc,,best-new-artist,nominee,Tone Loc,Tone Loc,UR,,,538,0.4,UR nominee
2023,Lizzo,About Damn Time,record-of-the-year,winner,Lizzo,Lizzo,UR,,,539,0.5666666666666667,UR winner
2023,Abba,Don't Shut Me Down,record-of-the-year,nominee,Abba,Abba,white,,,540,0.5666666666666667,white nominee
2023,Adele,Easy On Me,record-of-the-year,nominee,Adele,Adele,white,,,541,0.5666666666666667,white nominee
2023,Beyonce,BREAK MY SOUL,record-of-the-year,nominee,Beyonce,Beyonce,UR,,,542,0.5666666666666667,UR nominee
2023,Mary J. Blige,Good Morning Gorgeous,record-of-the-year,nominee,Mary J Blige,Mary J. Blige,UR,,,543,0.5666666666666667,UR nominee
2023,Brandi Carlile Featuring Lucius,You And Me On The Rock,record-of-the-year,nominee,Brandi Carlile Featuring Lucius,Brandi Carlile Featuring Lucius,white,,,544,0.5666666666666667,white nominee
2023,Doja Cat,Woman,record-of-the-year,nominee,Doja Cat,Doja Cat,UR,,,545,0.5666666666666667,UR nominee
2023,Steve Lacy,Bad Habit,record-of-the-year,nominee,Steve Lacy,Steve Lacy,UR,,,546,0.5666666666666667,UR nominee
2023,Harry Styles,As It Was,record-of-the-year,nominee,Harry Styles,Harry Styles,white,,,547,0.5666666666666667,white nominee
2023,Kendrick Lamar,The Heart Part 5,record-of-the-year,nominee,Kendrick Lamar,Kendrick Lamar,UR,,,548,0.5666666666666667,UR nominee
2023,Harry Styles,Harry's House,album-of-the-year,winner,Harry Styles,Harry Styles,white,,,549,0.5666666666666667,white winner
2023,Abba,Voyage,album-of-the-year,nominee,Abba,Abba,white,,,550,0.5666666666666667,white nominee
2023,Adele,30,album-of-the-year,nominee,Adele,Adele,white,,,551,0.5666666666666667,white nominee
2023,Bad Bunny,Un Verano Sin Ti,album-of-the-year,nominee,Bad Bunny,Bad Bunny,UR,,,552,0.5666666666666667,UR nominee
2023,Beyonce,RENAISSANCE,album-of-the-year,nominee,Beyonce,Beyonce,UR,,,553,0.5666666666666667,UR nominee
2023,Mary J. Blige,Good Morning Gorgeous,album-of-the-year,nominee,Mary J Blige,Mary J. Blige,UR,,,554,0.5666666666666667,UR nominee
2023,Brandi Carlile,In These Silent Days,album-of-the-year,nominee,Brandi Carlile,Brandi Carlile,white,,,555,0.5666666666666667,white nominee
2023,Coldplay,Music Of The Spheres,album-of-the-year,nominee,Coldplay,Coldplay,white,,,556,0.5666666666666667,white nominee
2023,Kendrick Lamar,Mr. Morale & The Big Steppers,album-of-the-year,nominee,Kendrick Lamar,Kendrick Lamar,UR,,,557,0.5666666666666667,UR nominee
2023,Lizzo,Special,album-of-the-year,nominee,Lizzo,Lizzo,UR,,,558,0.5666666666666667,UR nominee
2023,Samara Joy,,best-new-artist,winner,Samara Joy,Samara Joy,UR,,,559,0.5666666666666667,UR winner
2023,Anitta,,best-new-artist,nominee,Anitta,Anitta,UR,,,560,0.5666666666666667,UR nominee
2023,Omar Apollo,,best-new-artist,nominee,Omar Apollo,Omar Apollo,UR,,,561,0.5666666666666667,UR nominee
2023,DOMi & JD Beck,,best-new-artist,nominee,DOMi  JD Beck,DOMi & JD Beck,white,,,562,0.5666666666666667,white nominee
2023,Muni Long,,best-new-artist,nominee,Muni Long,Muni Long,UR,,,563,0.5666666666666667,UR nominee
2023,Latto,,best-new-artist,nominee,Latto,Latto,UR,,,564,0.5666666666666667,UR nominee
2023,Måneskin,,best-new-artist,nominee,Måneskin,Måneskin,white,,,565,0.5666666666666667,white nominee
2023,Tobe Nwigwe,,best-new-artist,nominee,Tobe Nwigwe,Tobe Nwigwe,UR,,,566,0.5666666666666667,UR nominee
2023,Molly Tuttle,,best-new-artist,nominee,Molly Tuttle,Molly Tuttle,white,,,567,0.5666666666666667,white nominee
2023,Wet Leg,,best-new-artist,nominee,Wet Leg,Wet Leg,white,,,568,0.5666666666666667,white nominee
