year,musician,work,category,status,cleaned_musician
2021,Black Pumas,Colors,record-of-the-year,nominee,Black Pumas
2021,DaBaby featuring Roddy Ricch,Rockstar,record-of-the-year,nominee,DaBaby featuring Roddy Ricch
2021,Doja Cat,Say So,record-of-the-year,nominee,Doja Cat
2021,Dua Lipa,Don’t Start Now,record-of-the-year,nominee,Dua Lipa
2021,Post Malone,Circles,record-of-the-year,nominee,Post Malone
2021,Megan Thee Stallion featuring Beyonce,Savage,record-of-the-year,nominee,Megan Thee Stallion featuring Beyonce
2020,Billie Eilish,Bad Guy,record-of-the-year,winner,Billie Eilish
2020,Bon Iver,Hey Ma,record-of-the-year,nominee,Bon Iver
2020,Ariana Grande,7 Rings,record-of-the-year,nominee,Ariana Grande
2020,H.E.R.,Hard Place,record-of-the-year,nominee,HER
2020,Khalid,Talk,record-of-the-year,nominee,Khalid
2020,Lil Nas X featuring Billy Ray Cyrus,Old Town Road,record-of-the-year,nominee,Lil Nas X featuring Billy Ray Cyrus
2020,Lizzo,Truth Hurts,record-of-the-year,nominee,Lizzo
2020,Post Malone & Swae Lee,Sunflower,record-of-the-year,nominee,Post Malone  Swae Lee
2019,Childish Gambino,This is America,record-of-the-year,winner,Childish Gambino
2019,Bad Bunny & J Balvin,"I Like It, Cardi B",record-of-the-year,nominee,Bad Bunny  J Balvin
2019,Brandi Carlile,The Joke,record-of-the-year,nominee,Brandi Carlile
2019,Drake,God’s Plan,record-of-the-year,nominee,Drake
2019,Lady Gaga & Bradley Cooper,Shallow,record-of-the-year,nominee,Lady Gaga  Bradley Cooper
2019,Kendrick Lamar & SZA,All the Stars,record-of-the-year,nominee,Kendrick Lamar  SZA
2019,Post Malone featuring 21 Savage,Rockstar,record-of-the-year,nominee,Post Malone featuring 21 Savage
2019,Maren Morris & Grey,"The Middle, Zedd",record-of-the-year,nominee,Maren Morris  Grey
2018,Bruno Mars,24K Magic,record-of-the-year,winner,Bruno Mars
2018,Luis Fonsi & Daddy Yankee featuring Justin Bieber,Despacito,record-of-the-year,nominee,Luis Fonsi  Daddy Yankee featuring Justin Bieber
2018,Childish Gambino,Redbone,record-of-the-year,nominee,Childish Gambino
2018,Jay-Z,The Story of OJ,record-of-the-year,nominee,JayZ
2018,Kendrick Lamar,Humble,record-of-the-year,nominee,Kendrick Lamar
2017,Adele,Hello,record-of-the-year,winner,Adele
2017,Beyonce,Formation,record-of-the-year,nominee,Beyonce
2017,Lukas Graham,7 Years,record-of-the-year,nominee,Lukas Graham
2017,Rihanna featuring Drake,Work,record-of-the-year,nominee,Rihanna featuring Drake
2017,Twenty One Pilots,Stressed Out,record-of-the-year,nominee,Twenty One Pilots
2016,Mark Ronson featuring Bruno Mars,Uptown Funk,record-of-the-year,winner,Mark Ronson featuring Bruno Mars
2016,D’Angelo,Really Love,record-of-the-year,nominee,DAngelo
2016,Ed Sheeran,Thinking Out Loud,record-of-the-year,nominee,Ed Sheeran
2016,Taylor Swift,Blank Space,record-of-the-year,nominee,Taylor Swift
2016,the Weeknd,Can’t Feel My Face,record-of-the-year,nominee,the Weeknd
2015,Sam Smith,Stay With Me,record-of-the-year,winner,Sam Smith
2015,Iggy Azalea featuring Charli XCX,Fancy,record-of-the-year,nominee,Iggy Azalea featuring Charli XCX
2015,Meghan Trainor,All About That Bass,record-of-the-year,nominee,Meghan Trainor
2015,Sia,Chandelier,record-of-the-year,nominee,Sia
2015,Taylor Swift,Shake it Off,record-of-the-year,nominee,Taylor Swift
2014,Daft Punk featuring Pharrell Williams & Nile Rodgers,Get Lucky,record-of-the-year,winner,Daft Punk featuring Pharrell Williams  Nile Rodgers
2014,Imagine Dragons,Radioactive,record-of-the-year,nominee,Imagine Dragons
2014,Lorde,Royals,record-of-the-year,nominee,Lorde
2014,Bruno Mars,Locked Out of Heaven,record-of-the-year,nominee,Bruno Mars
2014,Robin Thicke featuring TI & Pharrell Williams,Blurred Lines,record-of-the-year,nominee,Robin Thicke featuring TI  Pharrell Williams
2013,Gotye featuring Kimbra,Somebody That I Used to Know,record-of-the-year,winner,Gotye featuring Kimbra
2013,Black Keys,Lonely Boy,record-of-the-year,nominee,Black Keys
2013,Kelly Clarkson,Stronger (What Doesn’t Kill You),record-of-the-year,nominee,Kelly Clarkson
2013,fun. featuring Janelle Monae,We Are Young,record-of-the-year,nominee,fun featuring Janelle Monae
2013,Frank Ocean,Thinkin Bout You,record-of-the-year,nominee,Frank Ocean
2013,Taylor Swift,We Are Never Ever Getting Back Together,record-of-the-year,nominee,Taylor Swift
2012,Adele,Rolling in the Deep,record-of-the-year,winner,Adele
2012,Bon Iver,Holocene,record-of-the-year,nominee,Bon Iver
2012,Bruno Mars,Grenade,record-of-the-year,nominee,Bruno Mars
2012,Mumford & Sons,The Cave,record-of-the-year,nominee,Mumford  Sons
2012,Katy Perry,Firework,record-of-the-year,nominee,Katy Perry
2011,Lady Antebellum,Need You Now,record-of-the-year,winner,Lady Antebellum
2011,B.o.B featuring Bruno Mars,Nothin’ on You,record-of-the-year,nominee,BoB featuring Bruno Mars
2011,Eminem featuring Rihanna,Love the Way You Lie,record-of-the-year,nominee,Eminem featuring Rihanna
2011,Cee Lo Green,Fuck You,record-of-the-year,nominee,Cee Lo Green
2011,Jay-Z featuring Alicia Keys,Empire State of Mind,record-of-the-year,nominee,JayZ featuring Alicia Keys
2010,Kings of Leon,Use Somebody,record-of-the-year,winner,Kings of Leon
2010,Beyonce,Halo,record-of-the-year,nominee,Beyonce
2010,Black Eyed Peas,I Gotta Feeling,record-of-the-year,nominee,Black Eyed Peas
2010,Lady Gaga,Poker Face,record-of-the-year,nominee,Lady Gaga
2010,Taylor Swift,You Belong With Me,record-of-the-year,nominee,Taylor Swift
2009,Alison Krauss & Robert Plant,Please Read the Letter,record-of-the-year,winner,Alison Krauss  Robert Plant
2009,Adele,Chasing Pavements,record-of-the-year,nominee,Adele
2009,Coldplay,Viva La Vida,record-of-the-year,nominee,Coldplay
2009,Leona Lewis,Bleeding Love,record-of-the-year,nominee,Leona Lewis
2009,M.I.A.,Paper Planes,record-of-the-year,nominee,MIA
2008,Amy Winehouse,Rehab,record-of-the-year,winner,Amy Winehouse
2008,Beyonce,Irreplaceable,record-of-the-year,nominee,Beyonce
2008,Foo Fighters,The Pretender,record-of-the-year,nominee,Foo Fighters
2008,Rihanna featuring Jay-Z,Umbrella,record-of-the-year,nominee,Rihanna featuring JayZ
2008,Justin Timberlake,What Goes Around…Comes Around,record-of-the-year,nominee,Justin Timberlake
2007,Dixie Chicks,Not Ready to Make Nice,record-of-the-year,winner,Dixie Chicks
2007,Mary J. Blige,Be Without You,record-of-the-year,nominee,Mary J Blige
2007,James Blunt,You’re Beautiful,record-of-the-year,nominee,James Blunt
2007,Gnarls Barkley,Crazy,record-of-the-year,nominee,Gnarls Barkley
2007,Corinne Bailey Rae,Put Your Records On,record-of-the-year,nominee,Corinne Bailey Rae
2006,Green Day,Boulevard of Broken Dreams,record-of-the-year,winner,Green Day
2006,Mariah Carey,We Belong Together,record-of-the-year,nominee,Mariah Carey
2006,Gorillaz,Feel Good Inc.,record-of-the-year,nominee,Gorillaz
2006,Gwen Stefani,Hollaback Girl,record-of-the-year,nominee,Gwen Stefani
2006,Kanye West,Gold Digger,record-of-the-year,nominee,Kanye West
2005,Ray Charles and Norah Jones,Here We Go Again,record-of-the-year,winner,Ray Charles and Norah Jones
2005,Black Eyed Peas,Let’s Get It Started,record-of-the-year,nominee,Black Eyed Peas
2005,Green Day,American Idiot,record-of-the-year,nominee,Green Day
2005,Los Lonely Boys,Heaven,record-of-the-year,nominee,Los Lonely Boys
2005,Usher featuring Lil Jon & Ludacris,Yeah!,record-of-the-year,nominee,Usher featuring Lil Jon  Ludacris
2004,Coldplay,Clocks,record-of-the-year,winner,Coldplay
2004,Beyonce & Jay-Z,Crazy in Love,record-of-the-year,nominee,Beyonce  JayZ
2004,Black Eyed Peas & Justin Timberlake,Where is the Love,record-of-the-year,nominee,Black Eyed Peas  Justin Timberlake
2004,Eminem,Lose Yourself,record-of-the-year,nominee,Eminem
2004,Outkast,Hey Ya!,record-of-the-year,nominee,Outkast
2003,Norah Jones,Don’t Know Why,record-of-the-year,winner,Norah Jones
2003,Vanessa Carlton,A Thousand Miles,record-of-the-year,nominee,Vanessa Carlton
2003,Eminem,Without Me,record-of-the-year,nominee,Eminem
2003,Nelly & Kelly Rowland,Dilemma,record-of-the-year,nominee,Nelly  Kelly Rowland
2003,Nickelback,How You Remind Me,record-of-the-year,nominee,Nickelback
2002,U2,Walk On,record-of-the-year,winner,U2
2002,India.Arie,Video,record-of-the-year,nominee,IndiaArie
2002,Alicia Keys,Fallin’,record-of-the-year,nominee,Alicia Keys
2002,Outkast,Ms. Jackson,record-of-the-year,nominee,Outkast
2002,Train,Drops of Jupiter (Tell Me),record-of-the-year,nominee,Train
2001,U2,Beautiful Day,record-of-the-year,winner,U2
2001,Destiny’s Child,Say My Name,record-of-the-year,nominee,Destinys Child
2001,Macy Gray,I Try,record-of-the-year,nominee,Macy Gray
2001,Madonna,Music,record-of-the-year,nominee,Madonna
2001,N Sync,Bye Bye Bye,record-of-the-year,nominee,N Sync
2000,Santana featuring Rob Thomas,Smooth,record-of-the-year,winner,Santana featuring Rob Thomas
2000,Backstreet Boys,I Want It That Way,record-of-the-year,nominee,Backstreet Boys
2000,Cher,Believe,record-of-the-year,nominee,Cher
2000,Ricky Martin,Livin’ La Liva Loca,record-of-the-year,nominee,Ricky Martin
2000,TLC,No Scrubs,record-of-the-year,nominee,TLC
1999,Celine Dion,My Heart Will Go On,record-of-the-year,winner,Celine Dion
1999,Brandy & Monica,The Boy Is Mine,record-of-the-year,nominee,Brandy  Monica
1999,Goo Goo Dolls,Iris,record-of-the-year,nominee,Goo Goo Dolls
1999,Madonna,Ray of Light,record-of-the-year,nominee,Madonna
1999,Shania Twain,You’re Still the One,record-of-the-year,nominee,Shania Twain
1998,Shawn Colvin,Sunny Came Home,record-of-the-year,winner,Shawn Colvin
1998,Paula Cole,Where Have All the Cowboys Gone?,record-of-the-year,nominee,Paula Cole
1998,Sheryl Crow,Everyday is a Winding Road,record-of-the-year,nominee,Sheryl Crow
1998,Hanson,MMMBop,record-of-the-year,nominee,Hanson
1998,R. Kelly,I Believe I Can Fly,record-of-the-year,nominee,R Kelly
1997,Eric Clapton,Change the World,record-of-the-year,winner,Eric Clapton
1997,Tracy Chapman,Give Me One Reason,record-of-the-year,nominee,Tracy Chapman
1997,Celine Dion,Because You Loved Me,record-of-the-year,nominee,Celine Dion
1997,Alanis Morissette,Ironic,record-of-the-year,nominee,Alanis Morissette
1997,Smashing Pumpkins,1979,record-of-the-year,nominee,Smashing Pumpkins
1996,Seal,Crazy,record-of-the-year,winner,Seal
1996,Mariah Carey & Boyz II Men,One Sweet Day,record-of-the-year,nominee,Mariah Carey  Boyz II Men
1996,Coolio featuring L.V.,Gangsta’s Paradise,record-of-the-year,nominee,Coolio featuring LV
1996,Joan Osborne,One of Us,record-of-the-year,nominee,Joan Osborne
1996,TLC,Waterfalls,record-of-the-year,nominee,TLC
1995,Sheryl Crow,All I Wanna Do,record-of-the-year,winner,Sheryl Crow
1995,Boyz II Men,I’ll Make Love to You,record-of-the-year,nominee,Boyz II Men
1995,Mary Chapin Carpenter,He Thinks He’ll Keep Her,record-of-the-year,nominee,Mary Chapin Carpenter
1995,Bonnie Raitt,Love Sneakin’ Up On You,record-of-the-year,nominee,Bonnie Raitt
1995,Bruce Springsteen,Streets of Philadelphia,record-of-the-year,nominee,Bruce Springsteen
1994,Whitney Houston,I Will Always Love You,record-of-the-year,winner,Whitney Houston
1994,Peabo Bryson & Regina Belle,A Whole New World,record-of-the-year,nominee,Peabo Bryson  Regina Belle
1994,Billy Joel,The River of Dreams,record-of-the-year,nominee,Billy Joel
1994,Sting,If I Ever Lose My Faith in You,record-of-the-year,nominee,Sting
1994,Neil Young,Harvest Moon,record-of-the-year,nominee,Neil Young
1993,Eric Clapton,Tears in Heaven,record-of-the-year,winner,Eric Clapton
1993,Billy Ray Cyrus,Achy Breaky Heart,record-of-the-year,nominee,Billy Ray Cyrus
1993,Celine Dion & Peabo Bryson,Beauty and the Beast,record-of-the-year,nominee,Celine Dion  Peabo Bryson
1993,k.d. lang,Constant Craving,record-of-the-year,nominee,kd lang
1993,Vanessa Williams,Save the Best for Last,record-of-the-year,nominee,Vanessa Williams
1992,Natalie Cole with Nat King Cole,Unforgettable,record-of-the-year,winner,Natalie Cole with Nat King Cole
1992,Bryan Adams,(Everything I Do) I Do it for You,record-of-the-year,nominee,Bryan Adams
1992,Amy Grant,Baby Baby,record-of-the-year,nominee,Amy Grant
1992,Bonnie Raitt,Something to Talk About,record-of-the-year,nominee,Bonnie Raitt
1992,R.E.M.,Losing My Religion,record-of-the-year,nominee,REM
1991,Phil Collins,Another Day in Paradise,record-of-the-year,winner,Phil Collins
1991,Mariah Carey,Vision of Love,record-of-the-year,nominee,Mariah Carey
1991,MC Hammer,U Can’t Touch This,record-of-the-year,nominee,MC Hammer
1991,Bette Midler,From a Distance,record-of-the-year,nominee,Bette Midler
1991,Sinead O’Connor,Nothing Compares 2 U,record-of-the-year,nominee,Sinead OConnor
1990,Bette Midler,Wind Beneath My Wings,record-of-the-year,winner,Bette Midler
1990,Don Henley,The End of the Innocence,record-of-the-year,nominee,Don Henley
1990,Fine Young Cannibals,She Drives Me Crazy,record-of-the-year,nominee,Fine Young Cannibals
1990,Billy Joel,We Didn’t Start the Fire,record-of-the-year,nominee,Billy Joel
1990,Mike & the Mechanics,The Living Years,record-of-the-year,nominee,Mike  the Mechanics
1989,Bobby McFerrin,Don’t Worry Be Happy,record-of-the-year,winner,Bobby McFerrin
1989,Anita Baker,Giving You the Best That I Got,record-of-the-year,nominee,Anita Baker
1989,Tracy Chapman,Fast Car,record-of-the-year,nominee,Tracy Chapman
1989,Michael Jackson,Man in the Mirror,record-of-the-year,nominee,Michael Jackson
1989,Steve Winwood,Roll With It,record-of-the-year,nominee,Steve Winwood
1988,Paul Simon,Graceland,record-of-the-year,winner,Paul Simon
1988,Los Lobos,La Bamba,record-of-the-year,nominee,Los Lobos
1988,U2,I Still Haven’t Found What I’m Looking For,record-of-the-year,nominee,U2
1988,Suzanne Vega,Luka,record-of-the-year,nominee,Suzanne Vega
1988,Steve Winwood,Back in the High Life Again,record-of-the-year,nominee,Steve Winwood
1987,Steve Winwood,Higher Love,record-of-the-year,winner,Steve Winwood
1987,Peter Gabriel,Sledgehammer,record-of-the-year,nominee,Peter Gabriel
1987,Whitney Houston,Greatest Love of All,record-of-the-year,nominee,Whitney Houston
1987,Robert Palmer,Addicted to Love,record-of-the-year,nominee,Robert Palmer
1987,Dionne Warwick & Friends,That’s What Friends Are For,record-of-the-year,nominee,Dionne Warwick  Friends
1986,USA for Africa,We Are the World,record-of-the-year,winner,USA for Africa
1986,Dire Straits,Money for Nothing,record-of-the-year,nominee,Dire Straits
1986,Don Henley,The Boys of Summer,record-of-the-year,nominee,Don Henley
1986,Huey Lewis and the News,The Power of Love,record-of-the-year,nominee,Huey Lewis and the News
1986,Bruce Springsteen,Born in the USA,record-of-the-year,nominee,Bruce Springsteen
1985,Tina Turner,What’s Love Got to Do With It,record-of-the-year,winner,Tina Turner
1985,Chicago,Hard Habit to Break,record-of-the-year,nominee,Chicago
1985,Cyndi Lauper,Girls Just Want to Have Fun,record-of-the-year,nominee,Cyndi Lauper
1985,Huey Lewis and the News,The Heart of Rock & Roll,record-of-the-year,nominee,Huey Lewis and the News
1985,Bruce Spingsteen,Dancing in the Dark,record-of-the-year,nominee,Bruce Spingsteen
1984,Michael Jackson,Beat It,record-of-the-year,winner,Michael Jackson
1984,Irene Cara,Flashdance…What a Feeling,record-of-the-year,nominee,Irene Cara
1984,Police,Every Breath You Take,record-of-the-year,nominee,Police
1984,Lionel Richie,All Night Long,record-of-the-year,nominee,Lionel Richie
1984,Michael Sembello,Maniac,record-of-the-year,nominee,Michael Sembello
1983,Toto,Rosanna,record-of-the-year,winner,Toto
1983,Joe Jackson,Steppin’ Out,record-of-the-year,nominee,Joe Jackson
1983,Paul McCartney & Stevie Wonder,Ebony and Ivory,record-of-the-year,nominee,Paul McCartney  Stevie Wonder
1983,Willie Nelson,Always On My Mind,record-of-the-year,nominee,Willie Nelson
1983,Vangelis,Chariots of Fire,record-of-the-year,nominee,Vangelis
1982,Kim Carnes,Bette Davis Eyes,record-of-the-year,winner,Kim Carnes
1982,Christopher Cross,Arthur’s Theme (Best That You Can Do),record-of-the-year,nominee,Christopher Cross
1982,John Lennon,(Just Like) Starting Over,record-of-the-year,nominee,John Lennon
1982,Diana Ross & Lionel Richie,Endless Love,record-of-the-year,nominee,Diana Ross  Lionel Richie
1982,Jr. & Bill Withers,"Just the Two of Us, Grover Washington",record-of-the-year,nominee,Jr  Bill Withers
1981,Christopher Cross,Sailing,record-of-the-year,winner,Christopher Cross
1981,Bette Midler,The Rose,record-of-the-year,nominee,Bette Midler
1981,Kenny Rogers,Lady,record-of-the-year,nominee,Kenny Rogers
1981,Frank Sinatra,"Theme from New York, New York",record-of-the-year,nominee,Frank Sinatra
1981,Barbra Streisand,Woman in Love,record-of-the-year,nominee,Barbra Streisand
1980,Doobie Brothers,What a Fool Believes,record-of-the-year,winner,Doobie Brothers
1980,Wind & Fire,"After the Love Has Gone, Earth",record-of-the-year,nominee,Wind  Fire
1980,Gloria Gaynor,I Will Survive,record-of-the-year,nominee,Gloria Gaynor
1980,Kenny Rogers,The Gambler,record-of-the-year,nominee,Kenny Rogers
1980,Barbra Streisand & Neil Diamond,You Don’t Bring Me Flowers,record-of-the-year,nominee,Barbra Streisand  Neil Diamond
1979,Billy Joel,Just the Way You Are,record-of-the-year,winner,Billy Joel
1979,Gerry Rafferty,Baker Street,record-of-the-year,nominee,Gerry Rafferty
1979,Chuck Magione,Feels So Good,record-of-the-year,nominee,Chuck Magione
1979,Bee Gees,Stayin’ Alive,record-of-the-year,nominee,Bee Gees
1979,Anne Murray,You Needed Me,record-of-the-year,nominee,Anne Murray
1978,Eagles,Hotel California,record-of-the-year,winner,Eagles
1978,Linda Ronstadt,Blue Bayou,record-of-the-year,nominee,Linda Ronstadt
1978,Crystal Gayle,Don’t it Make My Brown Eyes Blue,record-of-the-year,nominee,Crystal Gayle
1978,Barbra Streisand,Evergreen,record-of-the-year,nominee,Barbra Streisand
1978,Debby Boone,You Light Up My Life,record-of-the-year,nominee,Debby Boone
1977,George Benson,This Masquerade,record-of-the-year,winner,George Benson
1977,Starland Vocal Band,Afternoon Delight,record-of-the-year,nominee,Starland Vocal Band
1977,Paul Simon,50 Ways to Leave Your Lover,record-of-the-year,nominee,Paul Simon
1977,Barry Manilow,I Write the Songs,record-of-the-year,nominee,Barry Manilow
1977,Chicago,If You Leave Me Now,record-of-the-year,nominee,Chicago
1976,Captain & Tennille,Love Will Keep Us Together,record-of-the-year,winner,Captain  Tennille
1976,Janis Ian,At Seventeen,record-of-the-year,nominee,Janis Ian
1976,Eagles,Lyin’ Eyes,record-of-the-year,nominee,Eagles
1976,Barry Manilow,Mandy,record-of-the-year,nominee,Barry Manilow
1976,Glen Campbell,Rhinestone Cowboy,record-of-the-year,nominee,Glen Campbell
1975,Olivia Newton-John,I Honestly Love You,record-of-the-year,winner,Olivia NewtonJohn
1975,Elton John,Don’t Let the Sun Go Down on Me,record-of-the-year,nominee,Elton John
1975,Roberta Flack,Feel Like Makin’ Love,record-of-the-year,nominee,Roberta Flack
1975,Joni Mitchell,Help Me,record-of-the-year,nominee,Joni Mitchell
1975,Maria Muldaur,Midnight at the Oasis,record-of-the-year,nominee,Maria Muldaur
1974,Robert Flack,Killing Me Softly With His Song,record-of-the-year,winner,Robert Flack
1974,Jim Croce,"Bad, Bad Leroy Brown",record-of-the-year,nominee,Jim Croce
1974,Charlie Rich,Behind Closed Doors,record-of-the-year,nominee,Charlie Rich
1974,Stevie Wonder,You Are the Sunshine Of My Life,record-of-the-year,nominee,Stevie Wonder
1974,Carly Simon,You’re So Vain,record-of-the-year,nominee,Carly Simon
1973,Roberta Flack,The First Time Ever I Saw Your Face,record-of-the-year,winner,Roberta Flack
1973,Gilbert O’Sullivan,Alone Again (Naturally),record-of-the-year,nominee,Gilbert OSullivan
1973,Don McLean,American Pie,record-of-the-year,nominee,Don McLean
1973,Neil Diamond,Song Sung Blue,record-of-the-year,nominee,Neil Diamond
1973,Nilsson,Without You,record-of-the-year,nominee,Nilsson
1972,Carole King,It’s Too Late,record-of-the-year,winner,Carole King
1972,Three Dog Night,Joy to the World,record-of-the-year,nominee,Three Dog Night
1972,George Harrison,My Sweet Lord,record-of-the-year,nominee,George Harrison
1972,Isaac Hayes,Theme from Shaft,record-of-the-year,nominee,Isaac Hayes
1972,James Taylor,You’ve Got a Friend,record-of-the-year,nominee,James Taylor
1971,Simon & Garfunkel,Bridge Over Troubled Water,record-of-the-year,winner,Simon  Garfunkel
1971,Carpenters,Close to You,record-of-the-year,nominee,Carpenters
1971,Ray Stevens,Everything is Beautiful,record-of-the-year,nominee,Ray Stevens
1971,James Taylor,Fire and Rain,record-of-the-year,nominee,James Taylor
1971,Beatles,Let it Be,record-of-the-year,nominee,Beatles
1970,the 5th Dimension,Aquarius/Let the Sunshine In,record-of-the-year,winner,the 5th Dimension
1970,Johnny Cash,A Boy Named Sue,record-of-the-year,nominee,Johnny Cash
1970,Peggy Lee,Is That All There Is?,record-of-the-year,nominee,Peggy Lee
1970,Henry Mancini,A Time for Us,record-of-the-year,nominee,Henry Mancini
1970,Sweet & Tears,"Spinning Wheel, Blood",record-of-the-year,nominee,Sweet  Tears
1969,Simon & Garfunkel,Mrs. Robinson,record-of-the-year,winner,Simon  Garfunkel
1969,Jeannie C. Riley,Harper Valley PTA,record-of-the-year,nominee,Jeannie C Riley
1969,Beatles,Hey Jude,record-of-the-year,nominee,Beatles
1969,Bobby Goldsboro,Honey,record-of-the-year,nominee,Bobby Goldsboro
1969,Glen Campbell,Wichita Lineman,record-of-the-year,nominee,Glen Campbell
1968,"Up and Away, the 5th Dimension","Up, Up and Away",record-of-the-year,winner,Up and Away the 5th Dimension
1968,Glen Campbell,By the Time I Get to Phoenix,record-of-the-year,nominee,Glen Campbell
1968,Ed Ames,My Cup Runneth Over,record-of-the-year,nominee,Ed Ames
1968,Bobbie Gentry,Ode to Billie Joe,record-of-the-year,nominee,Bobbie Gentry
1968,Nancy Sinatra & Frank Sinatra,Somethin’ Stupid,record-of-the-year,nominee,Nancy Sinatra  Frank Sinatra
1967,Frank Sinatra,Strangers in the Night,record-of-the-year,winner,Frank Sinatra
1967,David Houston,Almost Persuaded,record-of-the-year,nominee,David Houston
1967,the Mamas & the Papas,"Monday, Monday",record-of-the-year,nominee,the Mamas  the Papas
1967,Herb Alpert & Tijuana Brass,What Now My Love,record-of-the-year,nominee,Herb Alpert  Tijuana Brass
1967,New Vaudeville Band,Winchester Cathedral,record-of-the-year,nominee,New Vaudeville Band
1966,Herb Alpert and the Tijuana Brass,A Taste of Honey,record-of-the-year,winner,Herb Alpert and the Tijuana Brass
1966,Beatles,Yesterday,record-of-the-year,nominee,Beatles
1966,Ramsey Lewis Trio,The In Crowd,record-of-the-year,nominee,Ramsey Lewis Trio
1966,Roger Miller,King of the Road,record-of-the-year,nominee,Roger Miller
1966,Tony Bennett,The Shadow of Your Smile,record-of-the-year,nominee,Tony Bennett
1965,Astrud Gilberto and Stan Getz,The Girl from Ipanema,record-of-the-year,winner,Astrud Gilberto and Stan Getz
1965,Petula Clark,Downtown,record-of-the-year,nominee,Petula Clark
1965,Louis Armstrong,"Hello, Dolly!",record-of-the-year,nominee,Louis Armstrong
1965,Beatles,I Want to Hold Your Hand,record-of-the-year,nominee,Beatles
1965,Barbra Streisand,People,record-of-the-year,nominee,Barbra Streisand
1964,Henry Mancini,Days of Wine and Roses,record-of-the-year,winner,Henry Mancini
1964,the Singing Nun,Dominique,record-of-the-year,nominee,the Singing Nun
1964,Barbra Streisand,Happy Days Are Here Again,record-of-the-year,nominee,Barbra Streisand
1964,Tony Bennett,I Wanna Be Around,record-of-the-year,nominee,Tony Bennett
1964,Jack Jones,Wives and Lovers,record-of-the-year,nominee,Jack Jones
1963,Tony Bennett,I Left My Heart in San Francisco,record-of-the-year,winner,Tony Bennett
1963,Stan Getz & Charlie Boyd,Desafinado,record-of-the-year,nominee,Stan Getz  Charlie Boyd
1963,Joe Harnell & His Orchestra,Fly Me to the Moon Bossa Nova,record-of-the-year,nominee,Joe Harnell  His Orchestra
1963,Ray Charles,I Can’t Stop Loving You,record-of-the-year,nominee,Ray Charles
1963,Jr.,"What Kind of Fool Am I?, Sammy Davis",record-of-the-year,nominee,Jr
1962,Henry Mancini,Moon River,record-of-the-year,winner,Henry Mancini
1962,Jimmy Dean,Big Bad John,record-of-the-year,nominee,Jimmy Dean
1962,Frank Sinatra,The Second Time Around,record-of-the-year,nominee,Frank Sinatra
1962,Dave Brubeck,Take Five,record-of-the-year,nominee,Dave Brubeck
1962,Si Zentner,(Up a) Lazy River,record-of-the-year,nominee,Si Zentner
1961,Percy Faith,Theme from a Summer Place,record-of-the-year,winner,Percy Faith
1961,Elvis Presley,Are You Lonesome Tonight?,record-of-the-year,nominee,Elvis Presley
1961,Ray Charles,Georgia on My Mind,record-of-the-year,nominee,Ray Charles
1961,Ella Fitzgerald,Mack the Knife,record-of-the-year,nominee,Ella Fitzgerald
1961,Frank Sinatra,Nice ‘n’ Easy,record-of-the-year,nominee,Frank Sinatra
1960,Bobby Darin,Mack the Knife,record-of-the-year,winner,Bobby Darin
1960,Elvis Presley,A Fool Such as I,record-of-the-year,nominee,Elvis Presley
1960,Frank Sinatra,High Hopes,record-of-the-year,nominee,Frank Sinatra
1960,Andre Previn,Like Young,record-of-the-year,nominee,Andre Previn
1960,the Browns,The Three Bells,record-of-the-year,nominee,the Browns
1959,Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),record-of-the-year,winner,Domenico Modugno
1959,Perry Como,Catch a Falling Star,record-of-the-year,nominee,Perry Como
1959,David Seville,The Chipmunk Song (Christmas Don’t Be Late),record-of-the-year,nominee,David Seville
1959,Peggy Lee,Fever,record-of-the-year,nominee,Peggy Lee
1959,Frank Sinatra,Witchcraft,record-of-the-year,nominee,Frank Sinatra
2022,Olivia Rodrigo,NA,best-new-artist,winner,Olivia Rodrigo
2022,Arooj Aftab,NA,best-new-artist,nominee,Arooj Aftab
2022,Jimmie Allen,NA,best-new-artist,nominee,Jimmie Allen
2022,Baby Keem,NA,best-new-artist,nominee,Baby Keem
2022,Finneas,NA,best-new-artist,nominee,Finneas
2022,Glass Animals,NA,best-new-artist,nominee,Glass Animals
2022,Japanese Breakfast,NA,best-new-artist,nominee,Japanese Breakfast
2022,The Kid Laroi,NA,best-new-artist,nominee,The Kid Laroi
2022,Arlo Parks,NA,best-new-artist,nominee,Arlo Parks
2022,Saweetie,NA,best-new-artist,nominee,Saweetie
2021,Megan Thee Stallion,NA,best-new-artist,winner,Megan Thee Stallion
2021,Ingrid Andress,NA,best-new-artist,nominee,Ingrid Andress
2021,Phoebe Bridgers,NA,best-new-artist,nominee,Phoebe Bridgers
2021,Chika,NA,best-new-artist,nominee,Chika
2021,Noah Cyrus,NA,best-new-artist,nominee,Noah Cyrus
2021,D Smoke,NA,best-new-artist,nominee,D Smoke
2021,Doja Cat,NA,best-new-artist,nominee,Doja Cat
2021,Kaytranada,NA,best-new-artist,nominee,Kaytranada
2020,Billie Eilish,NA,best-new-artist,winner,Billie Eilish
2020,Black Pumas,NA,best-new-artist,nominee,Black Pumas
2020,Maggie Rogers,NA,best-new-artist,nominee,Maggie Rogers
2020,Lil Nas X,NA,best-new-artist,nominee,Lil Nas X
